Date,totalTestResults,positive,death,State,AirPol,Obesity,Drug_death,Excessive_Drinking,Smoking,Physician,Uninsured,Inactivity,Hosp_bed.x,Hosp_bed.y,OPM,MDI,Popdensity,Pop,Abbre,Confirmed,Neg,pending
4/30/2020,28127,3784,68,Nebraska,7.1,34.1,7.2,22.3,16,158.2,8.3,23.8,3.6,3.6,10.8,9.4,24,1896190,NE,50,356,0
4/30/2020,219604,15090,801,Washington,8,28.7,15.2,16.5,12,150,6.3,17.6,1.7,1.7,11,11.1,107,7170351,WA,2496,48492,0
4/30/2020,67869,3411,123,New Mexico,6,32.3,24.7,15.7,15.2,144.7,9.3,22.2,1.8,1.8,19.7,20.5,17,2085109,NM,65,5321,0
4/30/2020,17028,2449,17,South Dakota,5.1,30.1,8.4,23.2,19,131.4,9.5,24,4.8,4.8,13,10.8,11,858469,SD,28,762,265
4/30/2020,387009,28087,782,Texas,8.3,34.8,10.3,18.7,14.4,113.5,17.5,25.6,2.3,2.3,14.7,18.2,105,27469114,TX,352,9703,0
4/30/2020,625337,48917,1982,California,12.8,25.8,12.1,17.6,11.2,141.4,7.2,21,1.8,1.8,13.3,18.6,251,39144818,CA,1733,12567,12100
4/30/2020,54101,4539,235,Kentucky,8.1,36.6,32.2,15.9,23.4,127,5.5,32.4,3.2,3.2,17.2,18.7,112,4425092,KY,104,1762,0
4/30/2020,137884,18027,975,Ohio,8.5,34,37.3,17,20.5,178.2,6.3,25.4,2.8,2.8,14,15.2,284,11614373,OH,442,140,0
4/30/2020,87196,7019,269,Alabama,8.1,36.2,16.1,13.8,19.2,122.8,9.7,30.7,3.1,3.1,16.9,21.3,95,4858979,AL,167,1665,0
4/30/2020,161181,26155,1120,Georgia,8.3,32.5,13.6,16.1,16.1,123.9,13.6,26.2,2.4,2.4,14.9,16,177,10214860,GA,772,4297,0
4/30/2020,84901,8052,316,Wisconsin,6.8,32,18.3,25,16.4,152.4,5.5,21.8,2.1,2.1,11.3,10.4,106,5771337,WI,416,7050,0
4/30/2020,68053,2446,101,Oregon,7.8,29.9,12.4,18.4,15.6,147.4,7,19.3,1.6,1.6,13.2,13,41,4028977,OR,191,3649,0
4/30/2020,236918,45763,2292,Pennsylvania,9.2,30.9,35.1,18.6,17,216.3,5.5,24,2.9,2.9,12.5,14.8,286,12802503,PA,644,6595,0
4/30/2020,66340,6815,261,Mississippi,7.7,39.5,12.1,13.8,20.5,110.8,12.1,32,4,4,19.8,19.8,63,2992333,MS,249,1143,0
4/30/2020,84070,7562,329,Missouri,7.5,35,21.1,19.2,19.4,171.5,9.3,26.1,3.1,3.1,13.4,13.4,88,6083672,MO,183,369,0
4/30/2020,128036,10509,378,North Carolina,7.2,33,19.5,16.4,17.4,134.4,10.7,23.9,2.1,2.1,14.7,13.9,206,10042802,NC,297,8141,0
4/30/2020,63422,3618,222,Oklahoma,8.2,34.8,20.3,14,19.7,131.2,14.2,27.2,2.8,2.8,15.8,14.2,57,3911338,OK,81,694,102
4/30/2020,44541,1118,41,West Virginia,7.6,39.5,48.3,12.6,25.2,172.8,6.3,28.2,3.8,3.8,19.1,17.4,76,1844128,WV,16,444,4
4/30/2020,900636,304372,18321,New York,6.6,27.6,17,18.4,12.8,230.7,5.6,23.8,2.7,2.7,14.1,17.6,420,19795791,NY,20875,57414,0
4/30/2020,127373,17835,1114,Indiana,8.4,34.1,23.7,17.5,21.1,127.2,8.3,27.4,2.7,2.7,13.5,15.4,184,6619680,IN,259,1701,0
4/30/2020,31626,4238,129,Kansas,7,34.4,11.6,17.1,17.2,138.1,8.8,22.5,3.3,3.3,11.9,10.6,36,2911641,KS,82,417,0
4/30/2020,28693,1984,60,Idaho,6.8,28.4,14.5,16.5,14.7,96.6,10.6,20.5,1.9,1.9,12.8,11.2,20,1654930,ID,47,1309,0
4/30/2020,48928,4998,269,Nevada,9,29.5,22.1,17,15.7,107.4,11.2,25,2.1,2.1,13,13,26,2890845,NV,245,3490,0
4/30/2020,16851,866,49,Vermont,5.1,27.5,19.9,18.5,13.7,188.7,4.3,18.9,2.1,2.1,11.3,10.9,67,626042,VT,75,1106,0
4/30/2020,13914,453,16,Montana,6.6,26.9,12.4,20.1,18,116,8.4,22.7,3.3,3.3,12.5,10.8,7,1032949,MT,34,1146,0
4/30/2020,81465,8116,343,Minnesota,6.6,30.1,12.1,21.8,15.1,169.5,4.4,20.5,2.5,2.5,9.5,9,68,5489594,MN,235,4511,0
4/30/2020,29003,1067,19,North Dakota,4.6,35.1,9.3,22.8,19.1,154.9,7.4,22.3,4.3,4.3,10.3,9,10,756927,ND,30,1353,0
4/30/2020,93389,7648,320,Arizona,9.7,29.5,20.8,17.2,14,125.8,10.4,22.1,1.9,1.9,14.9,14.2,60,6828065,AZ,265,309,6
4/30/2020,30832,4734,210,Delaware,8.3,33.5,29.2,18.1,16.5,166.2,5.7,26.8,2.2,2.2,13.6,13.2,485,945934,DE,68,36,0
4/30/2020,66350,9016,266,Rhode Island,7.3,27.7,29.7,18.6,14.6,274.9,4.4,25.3,2.1,2.1,11.6,13,1021,1056298,RI,106,1143,216
4/30/2020,81171,15284,777,Colorado,6.7,22.9,16.6,20.8,14.5,143.4,7.5,16.4,1.9,1.9,10.3,9.9,52,5456574,CO,591,4845,0
4/30/2020,119239,4672,46,Utah,8.4,27.7,23,11.3,9,102,9.3,17.5,1.8,1.8,9.7,8.3,36,2995919,UT,257,4790,0
4/30/2020,112915,15846,552,Virginia,6.9,30.3,15.4,16.9,14.9,148.1,8.8,22,2.1,2.1,10.6,11,212,8382993,VA,254,3443,0
4/30/2020,11660,559,7,Wyoming,5,29,15.3,19,18.8,111,11.4,21.7,3.5,3.5,11.3,8.9,6,586107,WY,26,592,0
4/30/2020,161309,28001,1862,Louisiana,7.9,36.8,21.3,18.8,20.5,139.7,8.2,30.8,3.3,3.3,19.7,21.6,108,4670724,LA,1172,4776,0
4/30/2020,216449,47505,4434,Michigan,8,33,23.9,19.5,18.9,205.2,5.3,23.8,2.5,2.5,14.2,16.3,175,9922576,MI,5789,4697,0
4/30/2020,353731,62205,3562,Massachusetts,6.3,25.7,29.3,22.4,13.4,247.4,2.8,22.4,2.3,2.3,10.5,11.6,871,6794422,MA,678,8263,0
4/30/2020,378239,32529,1290,Florida,7.4,30.7,21.4,18.2,14.5,131.3,13,26.8,2.6,2.6,14,14.3,378,20271272,FL,1171,11063,860
4/30/2020,107736,27700,2257,Connecticut,7.2,27.4,26.4,19,12.2,220,5.4,22.4,2,2,9.6,11.1,741,3590886,CT,415,4085,0
4/30/2020,247918,118652,8664,New Jersey,8.1,25.6,22.8,15.2,13.1,181,7.6,28.5,2.4,2.4,10,11.9,1218,8958013,NJ,2844,359,94
4/30/2020,118325,21742,1226,Maryland,7.7,30.9,30.2,14.6,12.5,192.1,6.1,22.9,1.9,1.9,9.3,14.2,618,6006401,MD,288,94,0
4/30/2020,56512,6095,244,South Carolina,7.4,34.3,18,16.7,18,131.3,10.8,26.7,2.4,2.4,15.4,14.6,162,4896146,SC,298,1466,0
4/30/2020,20641,1095,53,Maine,5.9,30.4,27,19.4,17.8,199.1,8.1,22.5,2.5,2.5,11.1,10.7,43,1329328,ME,107,2791,0
4/30/2020,23863,2054,66,New Hampshire,4.4,29.6,35.2,18.3,15.6,162.9,5.8,21.5,2.1,2.1,7.7,8.6,148,1330608,NH,78,1374,889
4/30/2020,20079,4323,224,District of Columbia,9.8,24.7,38.8,26.3,13.8,466.1,3.5,19.6,4.4,4.4,16.6,21.8,11011,672228,DC,116,1113,0
4/30/2020,42667,7145,162,Iowa,7.1,35.3,10.6,23.7,16.6,152.2,4.7,22.9,3,3,10.7,9.3,55,3123899,IA,105,2043,0
4/30/2020,48379,3255,61,Arkansas,7.1,37.1,14.2,15.8,22.7,122.3,8.1,31,3.2,3.2,16.4,19.4,57,2978204,AR,174,906,0
4/30/2020,177626,10735,199,Tennessee,7.4,34.4,24.3,15.7,20.7,139.1,9.8,30.9,2.9,2.9,15,16.4,160,6600299,TN,615,3272,0
4/30/2020,269867,52918,2355,Illinois,9.3,31.8,18.1,20.4,15.5,190,6.9,24.6,2.5,2.5,12.6,20.5,231,12859995,IL,1273,8583,0
