State,AirPol,Obesity,Drug_death,Excessive_Drinking,Smoking,Physician,Uninsured,Inactivity,beds,OPM,MDI,Popdensity,Pop,Abbre,Confirmed,Neg,pending
Nebraska,7.1,34.1,7.2,22.3,16,158.2,8.3,23.8,3.6,10.8,9.4,24,1896190,NE,50,356,NA
Washington,8,28.7,15.2,16.5,12,150,6.3,17.6,1.7,11,11.1,107,7170351,WA,2496,48492,NA
New Mexico,6,32.3,24.7,15.7,15.2,144.7,9.3,22.2,1.8,19.7,20.5,17,2085109,NM,65,5321,NA
South Dakota,5.1,30.1,8.4,23.2,19,131.4,9.5,24,4.8,13,10.8,11,858469,SD,28,762,265
Texas,8.3,34.8,10.3,18.7,14.4,113.5,17.5,25.6,2.3,14.7,18.2,105,27469114,TX,352,9703,NA
California,12.8,25.8,12.1,17.6,11.2,141.4,7.2,21,1.8,13.3,18.6,251,39144818,CA,1733,12567,12100
Kentucky,8.1,36.6,32.2,15.9,23.4,127,5.5,32.4,3.2,17.2,18.7,112,4425092,KY,104,1762,NA
Ohio,8.5,34,37.3,17,20.5,178.2,6.3,25.4,2.8,14,15.2,284,11614373,OH,442,140,NA
Alabama,8.1,36.2,16.1,13.8,19.2,122.8,9.7,30.7,3.1,16.9,21.3,95,4858979,AL,167,1665,NA
Georgia,8.3,32.5,13.6,16.1,16.1,123.9,13.6,26.2,2.4,14.9,16,177,10214860,GA,772,4297,NA
Wisconsin,6.8,32,18.3,25,16.4,152.4,5.5,21.8,2.1,11.3,10.4,106,5771337,WI,416,7050,NA
Oregon,7.8,29.9,12.4,18.4,15.6,147.4,7,19.3,1.6,13.2,13,41,4028977,OR,191,3649,NA
Pennsylvania,9.2,30.9,35.1,18.6,17,216.3,5.5,24,2.9,12.5,14.8,286,12802503,PA,644,6595,NA
Mississippi,7.7,39.5,12.1,13.8,20.5,110.8,12.1,32,4,19.8,19.8,63,2992333,MS,249,1143,NA
Missouri,7.5,35,21.1,19.2,19.4,171.5,9.3,26.1,3.1,13.4,13.4,88,6083672,MO,183,369,NA
North Carolina,7.2,33,19.5,16.4,17.4,134.4,10.7,23.9,2.1,14.7,13.9,206,10042802,NC,297,8141,NA
Oklahoma,8.2,34.8,20.3,14,19.7,131.2,14.2,27.2,2.8,15.8,14.2,57,3911338,OK,81,694,102
West Virginia,7.6,39.5,48.3,12.6,25.2,172.8,6.3,28.2,3.8,19.1,17.4,76,1844128,WV,16,444,4
New York,6.6,27.6,17,18.4,12.8,230.7,5.6,23.8,2.7,14.1,17.6,420,19795791,NY,20875,57414,NA
Indiana,8.4,34.1,23.7,17.5,21.1,127.2,8.3,27.4,2.7,13.5,15.4,184,6619680,IN,259,1701,NA
Kansas,7,34.4,11.6,17.1,17.2,138.1,8.8,22.5,3.3,11.9,10.6,36,2911641,KS,82,417,NA
Idaho,6.8,28.4,14.5,16.5,14.7,96.6,10.6,20.5,1.9,12.8,11.2,20,1654930,ID,47,1309,NA
Nevada,9,29.5,22.1,17,15.7,107.4,11.2,25,2.1,13,13,26,2890845,NV,245,3490,NA
Vermont,5.1,27.5,19.9,18.5,13.7,188.7,4.3,18.9,2.1,11.3,10.9,67,626042,VT,75,1106,NA
Montana,6.6,26.9,12.4,20.1,18,116,8.4,22.7,3.3,12.5,10.8,7,1032949,MT,34,1146,NA
Minnesota,6.6,30.1,12.1,21.8,15.1,169.5,4.4,20.5,2.5,9.5,9,68,5489594,MN,235,4511,NA
North Dakota,4.6,35.1,9.3,22.8,19.1,154.9,7.4,22.3,4.3,10.3,9,10,756927,ND,30,1353,NA
Arizona,9.7,29.5,20.8,17.2,14,125.8,10.4,22.1,1.9,14.9,14.2,60,6828065,AZ,265,309,6
Delaware,8.3,33.5,29.2,18.1,16.5,166.2,5.7,26.8,2.2,13.6,13.2,485,945934,DE,68,36,NA
Rhode Island,7.3,27.7,29.7,18.6,14.6,274.9,4.4,25.3,2.1,11.6,13,1021,1056298,RI,106,1143,216
Colorado,6.7,22.9,16.6,20.8,14.5,143.4,7.5,16.4,1.9,10.3,9.9,52,5456574,CO,591,4845,NA
Utah,8.4,27.7,23,11.3,9,102,9.3,17.5,1.8,9.7,8.3,36,2995919,UT,257,4790,NA
Virginia,6.9,30.3,15.4,16.9,14.9,148.1,8.8,22,2.1,10.6,11,212,8382993,VA,254,3443,NA
Wyoming,5,29,15.3,19,18.8,111,11.4,21.7,3.5,11.3,8.9,6,586107,WY,26,592,NA
Louisiana,7.9,36.8,21.3,18.8,20.5,139.7,8.2,30.8,3.3,19.7,21.6,108,4670724,LA,1172,4776,NA
Michigan,8,33,23.9,19.5,18.9,205.2,5.3,23.8,2.5,14.2,16.3,175,9922576,MI,5789,4697,NA
Massachusetts,6.3,25.7,29.3,22.4,13.4,247.4,2.8,22.4,2.3,10.5,11.6,871,6794422,MA,678,8263,NA
Florida,7.4,30.7,21.4,18.2,14.5,131.3,13,26.8,2.6,14,14.3,378,20271272,FL,1171,11063,860
Connecticut,7.2,27.4,26.4,19,12.2,220,5.4,22.4,2,9.6,11.1,741,3590886,CT,415,4085,NA
New Jersey,8.1,25.6,22.8,15.2,13.1,181,7.6,28.5,2.4,10,11.9,1218,8958013,NJ,2844,359,94
Maryland,7.7,30.9,30.2,14.6,12.5,192.1,6.1,22.9,1.9,9.3,14.2,618,6006401,MD,288,94,NA
South Carolina,7.4,34.3,18,16.7,18,131.3,10.8,26.7,2.4,15.4,14.6,162,4896146,SC,298,1466,NA
Maine,5.9,30.4,27,19.4,17.8,199.1,8.1,22.5,2.5,11.1,10.7,43,1329328,ME,107,2791,NA
New Hampshire,4.4,29.6,35.2,18.3,15.6,162.9,5.8,21.5,2.1,7.7,8.6,148,1330608,NH,78,1374,889
District of Columbia,9.8,24.7,38.8,26.3,13.8,466.1,3.5,19.6,4.4,16.6,21.8,11011,672228,DC,116,1113,NA
Iowa,7.1,35.3,10.6,23.7,16.6,152.2,4.7,22.9,3,10.7,9.3,55,3123899,IA,105,2043,NA
Arkansas,7.1,37.1,14.2,15.8,22.7,122.3,8.1,31,3.2,16.4,19.4,57,2978204,AR,174,906,NA
Tennessee,7.4,34.4,24.3,15.7,20.7,139.1,9.8,30.9,2.9,15,16.4,160,6600299,TN,615,3272,NA
Illinois,9.3,31.8,18.1,20.4,15.5,190,6.9,24.6,2.5,12.6,20.5,231,12859995,IL,1273,8583,NA